"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2026","30,046.14","28,278.59","30,179.82","28,196.88","4.09B","6.27%"
"07/01/2026","28,274.20","29,914.28","30,084.78","27,176.03","9.31B","-6.61%"
"06/01/2026","30,276.35","30,295.25","30,762.20","28,196.90","10.03B","-0.19%"
"05/01/2026","30,333.18","27,508.57","30,470.03","27,501.43","8.15B","10.49%"
"04/01/2026","27,452.12","23,883.29","27,488.03","23,512.60","7.56B","15.64%"
"03/01/2026","23,740.19","24,599.41","25,189.17","22,841.42","8.99B","-4.89%"
"02/01/2026","24,960.04","25,491.64","25,840.04","24,387.47","8.41B","-2.32%"
"01/01/2026","25,552.39","25,524.27","26,165.08","24,954.18","7.79B","1.20%"
"12/01/2025","25,249.85","25,232.75","25,835.03","24,647.61","8.10B","-0.73%"
"11/01/2025","25,434.89","26,114.11","26,132.87","23,854.03","7.60B","-1.64%"
"10/01/2025","25,858.13","24,539.25","26,182.10","24,207.15","8.13B","4.77%"
"09/01/2025","24,679.99","23,020.47","24,781.73","22,977.88","8.40B","5.40%"
"08/01/2025","23,415.42","22,941.06","23,969.28","22,673.88","7.24B","0.85%"
"07/01/2025","23,218.12","22,594.48","23,589.37","22,388.09","7.33B","2.38%"
"06/01/2025","22,679.01","21,270.57","22,721.50","21,199.37","7.56B","6.27%"
"05/01/2025","21,340.99","19,866.83","21,611.54","19,605.07","7.51B","9.04%"
"04/01/2025","19,571.02","19,192.77","19,707.34","16,542.20","9.96B","1.52%"
"03/01/2025","19,278.45","20,989.58","21,073.80","18,799.20","8.85B","-7.69%"
"02/01/2025","20,884.41","21,084.64","22,222.61","20,407.45","6.91B","-2.76%"
"01/01/2025","21,478.05","21,120.05","21,945.48","20,538.33","7.03B","2.22%"
"12/01/2024","21,012.17","20,971.76","22,133.22","20,913.72","7.33B","0.39%"
"11/01/2024","20,930.37","19,955.83","21,182.03","19,898.57","6.51B","5.23%"
"10/01/2024","19,890.41","20,046.06","20,600.10","19,622.29","6.38B","-0.85%"
"09/01/2024","20,060.69","19,438.11","20,273.30","18,400.97","6.89B","2.48%"
"08/01/2024","19,574.64","19,375.97","19,938.89","17,435.39","7.25B","1.10%"
"07/01/2024","19,362.43","19,720.11","20,690.97","18,667.22","6.79B","-1.63%"
"06/01/2024","19,682.87","18,666.72","20,017.72","18,392.57","6.70B","6.18%"
"05/01/2024","18,536.65","17,382.78","18,907.54","17,284.37","5.57B","6.28%"
"04/01/2024","17,440.69","18,280.82","18,391.58","16,973.94","5.68B","-4.46%"
"03/01/2024","18,254.69","18,069.29","18,464.70","17,764.99","5.78B","1.17%"
"02/01/2024","18,043.85","17,216.99","18,091.62","17,175.83","5.26B","5.29%"
"01/01/2024","17,137.24","16,667.30","17,665.26","16,249.19","5.28B","1.85%"
"12/01/2023","16,825.93","15,892.59","16,969.17","15,695.58","5.49B","5.51%"
"11/01/2023","15,947.87","14,453.68","16,166.51","14,441.90","5.31B","10.67%"
"10/01/2023","14,409.78","14,717.90","15,333.98","14,058.33","5.34B","-2.08%"
"09/01/2023","14,715.24","15,600.95","15,618.85","14,432.60","5.20B","-5.07%"
"08/01/2023","15,501.07","15,696.98","15,748.43","14,557.83","5.47B","-1.62%"
"07/01/2023","15,757.00","15,190.54","15,932.05","14,924.64","5.61B","3.81%"
"06/01/2023","15,179.21","14,269.09","15,284.65","14,219.94","6.48B","6.49%"
"05/01/2023","14,254.09","13,229.11","14,520.17","12,938.45","5.97B","7.61%"
"04/01/2023","13,245.99","13,084.10","13,247.39","12,724.24","4.50B","0.49%"
"03/01/2023","13,181.35","12,026.72","13,188.83","11,695.41","6.84B","9.46%"
"02/01/2023","12,042.12","12,087.92","12,880.98","11,900.84","5.54B","-0.49%"
"01/01/2023","12,101.93","11,038.42","12,248.15","10,696.42","5.57B","10.62%"
"12/01/2022","10,939.76","12,030.24","12,166.41","10,671.19","5.92B","-9.06%"
"11/01/2022","12,030.06","11,571.52","12,031.34","10,632.39","5.82B","5.48%"
"10/01/2022","11,405.57","11,059.17","11,681.85","10,440.64","5.99B","3.96%"
"09/01/2022","10,971.22","12,158.88","12,752.83","10,966.95","6.00B","-10.60%"
"08/01/2022","12,272.03","12,877.04","13,720.91","12,240.82","5.09B","-5.22%"
"07/01/2022","12,947.98","11,472.63","12,986.64","11,366.07","4.68B","12.55%"
"06/01/2022","11,503.72","12,750.31","12,897.63","11,037.21","5.73B","-9.00%"
"05/01/2022","12,642.10","12,864.83","13,556.67","11,492.29","5.78B","-1.65%"
"04/01/2022","12,854.80","14,886.91","15,161.89","12,835.48","4.50B","-13.37%"
"03/01/2022","14,838.49","14,197.66","15,265.42","13,020.40","6.03B","4.22%"
"02/01/2022","14,237.81","14,966.60","15,196.40","13,065.44","4.87B","-4.64%"
"01/01/2022","14,930.05","16,395.51","16,513.87","13,724.85","5.33B","-8.52%"
"12/01/2021","16,320.08","16,347.96","16,607.19","15,508.74","4.94B","1.14%"
"11/01/2021","16,135.92","15,879.61","16,764.85","15,785.31","4.30B","1.80%"
"10/01/2021","15,850.47","14,731.38","15,856.90","14,384.93","3.65B","7.90%"
"09/01/2021","14,689.62","15,637.13","15,701.40","14,684.55","3.82B","-5.73%"
"08/01/2021","15,582.51","15,046.10","15,620.62","14,773.19","3.52B","4.16%"
"07/01/2021","14,959.90","14,530.63","15,142.35","14,455.07","3.61B","2.78%"
"06/01/2021","14,554.80","13,764.27","14,582.30","13,469.85","3.75B","6.34%"
"05/01/2021","13,686.51","13,923.04","13,955.00","12,967.18","3.76B","-1.26%"
"04/01/2021","13,860.76","13,268.88","14,073.48","13,255.82","3.66B","5.88%"
"03/01/2021","13,091.44","13,106.02","13,301.62","12,208.39","5.48B","1.41%"
"02/01/2021","12,909.44","13,067.65","13,879.77","12,758.12","3.70B","-0.12%"
"01/01/2021","12,925.38","12,950.22","13,563.70","12,537.42","4.21B","0.29%"
"12/01/2020","12,888.28","12,387.62","12,925.53","12,226.13","4.33B","5.05%"
"11/01/2020","12,268.32","11,152.48","12,306.71","10,957.11","4.16B","11.00%"
"10/01/2020","11,052.95","11,554.96","12,204.75","10,960.02","4.13B","-3.20%"
"09/01/2020","11,418.06","12,203.36","12,439.48","10,677.85","5.60B","-5.72%"
"08/01/2020","12,110.70","11,018.02","12,167.46","10,855.06","3.71B","11.05%"
"07/01/2020","10,905.88","10,160.41","11,069.26","10,142.75","4.12B","7.37%"
"06/01/2020","10,156.85","9,526.43","10,306.90","9,489.58","5.12B","6.29%"
"05/01/2020","9,555.52","8,791.88","9,573.55","8,665.40","4.08B","6.17%"
"04/01/2020","9,000.51","7,582.78","9,025.82","7,423.97","4.97B","15.19%"
"03/01/2020","7,813.50","8,569.91","9,000.46","6,771.91","7.88B","-7.66%"
"02/01/2020","8,461.83","9,033.52","9,736.57","8,133.85","3.97B","-5.89%"
"01/01/2020","8,991.51","8,802.22","9,272.37","8,713.89","3.44B","2.96%"
"12/01/2019","8,733.07","8,409.87","8,811.10","8,167.35","3.18B","3.92%"
"11/01/2019","8,403.68","8,121.95","8,445.60","8,111.73","3.04B","3.96%"
"10/01/2019","8,083.83","7,782.82","8,119.73","7,463.57","3.32B","4.31%"
"09/01/2019","7,749.45","7,634.03","7,975.33","7,584.82","3.36B","0.76%"
"08/01/2019","7,691.00","7,866.60","8,000.94","7,356.27","3.91B","-2.01%"
"07/01/2019","7,848.78","7,816.56","8,027.18","7,735.67","3.46B","2.32%"
"06/01/2019","7,671.07","7,110.34","7,772.53","6,936.68","3.82B","7.62%"
"05/01/2019","7,127.96","7,828.14","7,851.03","7,125.97","4.24B","-8.40%"
